;0;1;2;3;4
0;0.48005818;0.532786296;0.340914542;0.500361535;0.345106528
1;0.574839135;0.571199174;0.206035532;0.433704796;0.335769239
2;0.428223584;0.506465865;0.26035066;0.558504362;0.424743806
3;0.439722848;0.450894081;0.457442735;0.517199202;0.355794144
4;0.472289266;0.460258318;0.46294291;0.486109941;0.338357973
5;0.507192216;0.549560509;0.300153205;0.528643165;0.266802849
6;0.45065729;0.537262672;0.371165922;0.500012889;0.347101998
7;0.582138694;0.643212823;0.328169807;0.127951681;0.351176238
8;0.502043443;0.543555359;0.285568551;0.495301239;0.354439328
9;0.463049625;0.519232673;0.431734484;0.526600941;0.228646583
10;0.473785935;0.442698196;0.408534637;0.481091004;0.425671342
11;0.497056823;0.530565697;0.37089975;0.478435098;0.323987326
12;0.454261902;0.415693434;0.40434684;0.496712099;0.458939884
13;0.620690051;0.652017332;0.324837553;0.123772037;0.262256185
14;0.467251251;0.475218873;0.438816799;0.403012296;0.448178755
15;0.592087344;0.621970998;0.331652699;0.118068361;0.372358704
16;0.528493175;0.588861214;0.222574835;0.494604361;0.282425926
17;0.368259988;0.546646355;0.500897698;0.374738265;0.417414749
18;0.483170308;0.430667601;0.412231933;0.43274486;0.473147536
19;0.397702765;0.540787939;0.395946349;0.4565427;0.429157509
20;0.455848556;0.590598528;0.382265987;0.370093068;0.400373961
21;0.531587149;0.635187466;0.328220475;0.351891023;0.287047059
22;0.461887012;0.517928996;0.265567806;0.525278765;0.414687717
23;0.314373037;0.483165906;0.438213389;0.604413977;0.332224429
24;0.44360423;0.462849111;0.400935024;0.474269684;0.450893958
25;0.421578605;0.443053804;0.476135837;0.437480479;0.455938923
26;0.437300728;0.503532006;0.403081234;0.355034509;0.516429675
27;0.445516749;0.462933468;0.371995752;0.524013951;0.417415824
28;0.54767992;0.389628653;0.429679466;0.537995992;0.272345527
29;0.50367546;0.52349957;0.344878206;0.498617246;0.323572397
30;0.490855483;0.504000349;0.398329281;0.498423739;0.312973007
31;0.44289193;0.629487058;0.316718081;0.475340395;0.285191073
32;0.437624835;0.404108224;0.449477729;0.462839981;0.478466268
33;0.459762857;0.514932246;0.302758847;0.557183926;0.348347601
